Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,$23.25,-0.07,-0.30%,6959549468.00,United States,2019,48977,Utilities,Power Generation
CMTG,Claros Mortgage Trust Inc. Common Stock,$3.46,-0.01,-0.288%,485156923.00,United States,2021,238217,Finance,Real Estate
CMU,MFS Municipal Income Trust Common Stock,$3.49,0.00,0.00%,98855346.00,United States,1987,46819,Finance,Investment Managers
CNA,CNA Financial Corporation Common Stock,$44.25,-0.81,-1.798%,11976996342.00,United States,,468716,Finance,Property-Casualty Insurers
CNC,Centene Corporation Common Stock,$38.34,-0.51,-1.313%,18844800120.00,United States,,7470027,Health Care,Medical Specialities
CNF,CNFinance Holdings Limited American Depositary Shares each representing two hundred (200) Ordinary Shares,$5.63,-0.27,-4.576%,38611756.00,,,6169,Finance,Finance: Consumer Services
CNH,CNH Industrial N.V. Common Shares,$9.44,-0.03,-0.317%,11766060066.00,United Kingdom,2013,9875405,Industrials,Construction/Ag Equipment/Trucks
CNI,Canadian National Railway Company Common Stock,$98.16,-0.40,-0.406%,60417480000.00,Canada,,944133,Industrials,Railroads
CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,$21.95,-1.91,-8.005%,2578596049.00,United States,2007,9370548,Consumer Discretionary,Movies/Entertainment
CNM,Core & Main Inc. Class A Common Stock,$50.23,0.35,0.702%,9916660010.00,United States,2021,2639764,Consumer Discretionary,Durable Goods
CNMD,CONMED Corporation Common Stock,$40.07,-4.17,-9.426%,1240885917.00,United States,1987,1285341,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CNNE,Cannae Holdings Inc. Common Stock,$16.38,-0.46,-2.732%,807294950.00,United States,2017,619821,Consumer Discretionary,Restaurants
CNO,CNO Financial Group Inc. Common Stock,$40.18,-0.11,-0.273%,3831304112.00,United States,,687248,Finance,Accident &Health Insurance
CNO^A,CNO Financial Group Inc. 5.125% Subordinated Debentures due 2060,$18.9647,0.00,0.00%,,United States,,250,,
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,$38.43,-0.11,-0.285%,25089727731.00,United States,,4328692,Utilities,Electric Utilities: Central
CNQ,Canadian Natural Resources Limited Common Stock,$34.66,0.20,0.58%,72200488620.00,Canada,,4383377,Energy,Oil & Gas Production
CNR,Core Natural Resources Inc. Common Stock,$83.27,-0.77,-0.916%,4266710667.00,United States,2017,570453,Energy,Coal Mining
CNS,Cohen & Steers Inc Common Stock,$62.20,-0.45,-0.718%,3172669050.00,United States,2004,361398,Finance,Investment Managers
CNX,CNX Resources Corporation Common Stock,$40.90,0.51,1.263%,5514655712.00,United States,1999,2533607,Energy,Oil & Gas Production
CODI,D/B/A Compass Diversified Holdings Shares of Beneficial Interest,$5.73,-1.65,-22.358%,431102085.00,United States,2006,4112083,Consumer Discretionary,Home Furnishings
CODI^A,Compass Diversified Holdings 7.250% Series A Preferred Shares representing beneficial interest in Compass Diversified Holdings,$16.06,-0.63,-3.775%,,United States,,61559,,
CODI^B,Compass Diversified Holdings 7.875% Series B Fixed-to-Floating Rate Cumulative Preferred Shares representing beneficial interests in Compass Diversified Holdings,$18.10,-0.5596,-2.999%,,United States,,66111,,
CODI^C,Compass Diversified Holdings 7.875% Series C Cumulative Preferred Shares,$17.65,-0.90,-4.852%,,United States,,114656,,
COF,Capital One Financial Corporation Common Stock,$230.68,0.97,0.422%,146651028001.00,United States,1994,3919160,Finance,Major Banks
COF^I,Capital One Financial Corporation Depositary shares each representing a 1/40th interest in a share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series I of the Issuer,$18.92,-0.03,-0.158%,,United States,,272053,,
COF^J,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non- Cumulative Perpetual Preferred Stock Series J,$17.97,-0.08,-0.443%,,United States,,351106,,
COF^K,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series K,$17.388,-0.092,-0.526%,,United States,,17234,,
COF^L,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series L,$16.37,-0.08,-0.486%,,United States,,53254,,
COF^N,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series N,$16.38,0.04,0.245%,,United States,,35837,,
COHR,Coherent Corp. Common Stock,$181.79,4.44,2.504%,28568954944.00,United States,,5177279,Technology,Electronic Components
COLD,Americold Realty Trust Inc. Common Stock,$10.75,-0.37,-3.327%,3062185649.00,United States,2018,6352841,Real Estate,Real Estate Investment Trusts
COMP,Compass Inc. Class A Common Stock,$10.32,-0.08,-0.769%,5802274725.00,United States,2021,6566084,Technology,EDP Services
CON,Concentra Group Holdings Parent Inc. Common Stock,$19.47,-0.07,-0.358%,2495473833.00,United States,2024,695424,Health Care,Medical Specialities
COOK,Traeger Inc. Common Stock,$0.7968,-0.0241,-2.936%,109182569.00,United States,2021,285618,Consumer Discretionary,Consumer Electronics/Appliances
COP,ConocoPhillips Common Stock,$93.69,0.57,0.612%,115774442843.00,United States,,9873554,Energy,Integrated oil Companies
COPL,Copley Acquisition Corp Ordinary Shares,$10.24,0.02,0.196%,0.00,,2025,41710,,
COR,Cencora Inc. Common Stock,$339.66,2.03,0.601%,65891813189.00,United States,,1234535,Health Care,Other Pharmaceuticals
COSO,CoastalSouth Bancshares Inc. Common Stock,$22.80,0.19,0.84%,273119399.00,United States,2025,14146,Finance,Major Banks
COTY,Coty Inc. Class A Common Stock,$3.45,0.06,1.77%,3017430982.00,United States,2013,6122192,Consumer Discretionary,Package Goods/Cosmetics
COUR,Coursera Inc. Common Stock,$8.44,0.07,0.836%,1404416000.00,United States,2021,1704769,Technology,Computer Software: Prepackaged Software
CP,Canadian Pacific Kansas City Limited Common Shares,$73.76,-0.19,-0.257%,66445312852.00,Canada,,2993389,Industrials,Railroads
CPA,Copa Holdings S.A. Class A Common Stock,$118.99,0.75,0.634%,4899170034.00,Panama,2005,204688,Consumer Discretionary,Air Freight/Delivery Services
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),$6.82,0.05,0.739%,578156566.00,Peru,,15442,Industrials,Building Materials
CPAY,Corpay Inc. Common Stock,$310.64,13.25,4.455%,21731770516.00,United States,,711630,Real Estate,Real Estate
CPF,Central Pacific Financial Corp New,$30.57,-0.04,-0.131%,820117042.00,United States,,117520,Finance,Major Banks
CPK,Chesapeake Utilities Corporation Common Stock,$129.14,0.23,0.178%,3054249332.00,United States,,125606,Utilities,Oil & Gas Production
CPNG,Coupang Inc. Class A Common Stock,$27.11,0.09,0.333%,49520414755.00,United States,2021,11289447,Consumer Discretionary,Catalog/Specialty Distribution
CPRI,Capri Holdings Limited Ordinary Shares,$27.04,-0.62,-2.242%,3221634237.00,Hong Kong,2011,1802948,Consumer Discretionary,Apparel
CPS,Cooper-Standard Holdings Inc. Common Stock,$30.07,0.09,0.30%,530344861.00,United States,,107666,Consumer Discretionary,Auto Parts:O.E.M.
CPT,Camden Property Trust Common Stock,$103.88,-0.63,-0.603%,11052346880.00,United States,1993,764307,Real Estate,Real Estate Investment Trusts
CQP,Cheniere Energy Partners LP Common Units,$55.82,-0.03,-0.054%,27019817416.00,United States,2007,74619,Utilities,Oil/Gas Transmission
CR,Crane Company Common Stock,$187.79,-0.14,-0.074%,10816119410.00,United States,2023,309438,Industrials,Metal Fabrications
CRBD,Corebridge Financial Inc. 6.375% Junior Subordinated Notes due 2064,$23.00,-0.14,-0.605%,0.00,United States,2024,204308,Finance,Life Insurance
CRBG,Corebridge Financial Inc. Common Stock,$30.37,0.11,0.364%,15807397283.00,United States,2022,7280909,Finance,Life Insurance
CRC,California Resources Corporation Common Stock,$47.64,-0.10,-0.209%,3988036393.00,United States,2020,682001,Energy,Oil & Gas Production
CRCL,Circle Internet Group Inc. Class A Common Stock,$85.62,-1.84,-2.104%,20161420101.00,United States,2025,10439280,Finance,Finance: Consumer Services
CRD/A,Crawford & Company,$11.00,-0.04,-0.362%,,United States,,36054,,
CRD/B,Crawford & Company,$10.38,-0.26,-2.444%,,United States,,7670,,
CRGY,Crescent Energy Company Class A Common Stock,$9.98,0.21,2.149%,2541223278.00,United States,2021,3070672,Energy,Oil & Gas Production
CRH,CRH PLC Ordinary Shares,$119.49,-1.56,-1.289%,79979368730.00,Ireland,,9148156,Industrials,Building Materials
CRI,Carter's Inc. Common Stock,$31.87,0.67,2.147%,1161593553.00,United States,2003,1050941,Consumer Discretionary,Apparel
CRK,Comstock Resources Inc. Common Stock,$27.37,0.54,2.013%,8020910040.00,United States,,2233171,Energy,Oil & Gas Production
CRL,Charles River Laboratories International Inc. Common Stock,$184.31,0.27,0.147%,9070903460.00,United States,2000,705080,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CRM,Salesforce Inc. Common Stock,$260.57,13.11,5.298%,248062640000.00,United States,2004,15846126,Technology,Computer Software: Prepackaged Software
CRS,Carpenter Technology Corporation Common Stock,$307.12,-7.62,-2.421%,15300356613.00,United States,,978576,Industrials,Steel/Iron Ore
CRT,Cross Timbers Royalty Trust Common Stock,$8.61,0.02,0.233%,51660000.00,United States,1992,13349,Energy,Oil & Gas Production
CSAN,Cosan S.A. ADS,$4.93,-0.52,-9.541%,2290779953.00,Brazil,2021,3403448,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CSL,Carlisle Companies Incorporated Common Stock,$323.68,0.88,0.273%,13525219328.00,United States,,405529,Industrials,Specialty Chemicals
CSR,D/B/A Centerspace Common Stock,$63.70,-0.95,-1.469%,1064010912.00,United States,,191445,Real Estate,Real Estate Investment Trusts
CSTM,Constellium SE Ordinary Shares (France),$17.77,-0.41,-2.255%,2448737613.00,Netherlands,2013,1441664,Industrials,Metal Fabrications
CSV,Carriage Services Inc. Common Stock,$41.89,0.04,0.096%,659566135.00,United States,,41406,Consumer Discretionary,Other Consumer Services
CSW,CSW Industrials Inc. Common Stock,$304.27,4.14,1.379%,5077264643.00,United States,,159976,Industrials,Home Furnishings
CTA^A,EIDP Inc. Preferred Stock $3.50 Series,$53.85,-0.228,-0.422%,,United States,,1397,,
CTA^B,EIDP Inc. Preferred Stock $4.50 Series,$67.24,-0.13,-0.193%,,United States,,4868,,
CTBB,Qwest Corporation 6.5% Notes due 2056,$18.93,-0.02,-0.106%,19.00,United States,2016,17138,Telecommunications,Telecommunications Equipment
CTDD,Qwest Corporation 6.75% Notes due 2057,$19.56,0.04,0.205%,20.00,United States,2017,24237,Telecommunications,Telecommunications Equipment
CTEV,Claritev Corporation Class A Common Stock,$33.95,-3.00,-8.119%,561045614.00,United States,2020,194843,Real Estate,Real Estate
CTO,CTO Realty Growth Inc. Common Stock,$18.00,0.05,0.279%,582701238.00,United States,1992,231122,Real Estate,Real Estate Investment Trusts
CTO^A,CTO Realty Growth Inc. 6.375% Series A Cumulative Redeemable Preferred Stock,$21.43,0.23,1.085%,,United States,,2776,,
CTOS,Custom Truck One Source Inc. Common Stock,$6.11,0.01,0.164%,1384279070.00,Cayman Islands,2017,615275,Consumer Discretionary,Diversified Commercial Services
CTRA,Coterra Energy Inc. Common Stock,$27.39,0.05,0.183%,20854131149.00,United States,,7182704,Energy,Oil & Gas Production
CTRE,CareTrust REIT Inc. Common Stock,$37.70,-0.06,-0.159%,8418422139.00,United States,2022,1144099,Real Estate,Real Estate Investment Trusts
CTRI,Centuri Holdings Inc. Common Stock,$25.58,0.33,1.307%,2267645359.00,United States,2024,1924866,Utilities,Oil & Gas Production
CTS,CTS Corporation Common Stock,$44.46,0.13,0.293%,1291670727.00,United States,,105087,Technology,Electrical Products
CTVA,Corteva Inc. Common Stock ,$66.00,-0.29,-0.437%,44598312000.00,United States,2019,5353347,Consumer Staples,Farming/Seeds/Milling
CUBB,Customers Bancorp Inc 5.375% Subordinated Notes Due 2034,$21.7615,0.1515,0.701%,688174578.00,United States,2019,2196,Finance,Major Banks
CUBE,CubeSmart Common Shares,$36.63,-0.18,-0.489%,8352956153.00,United States,,1953324,Real Estate,Real Estate Investment Trusts
CUBI,Customers Bancorp Inc Common Stock,$70.95,-0.17,-0.239%,2424225063.00,United States,,224545,Finance,Major Banks
CUBI^F,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series F,$24.968,0.013,0.052%,,United States,,15130,,
CUK,Carnival Plc ADS ADS,$23.84,0.10,0.421%,32327633902.00,United States,,1501189,Consumer Discretionary,Marine Transportation
CULP,Culp Inc. Common Stock,$3.85,0.02,0.522%,48530428.00,United States,,19492,Consumer Discretionary,Textiles
CURB,Curbline Properties Corp. Common Stock,$23.35,-0.30,-1.268%,2460345602.00,United States,2024,490743,Finance,Real Estate
CURV,Torrid Holdings Inc. Common Stock,$1.15,0.02,1.77%,114040844.00,United States,2021,603205,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CUZ,Cousins Properties Incorporated Common Stock,$24.67,-0.59,-2.336%,4143708860.00,United States,,1200425,Real Estate,Real Estate Investment Trusts
CVE,Cenovus Energy Inc Common Stock,$18.31,-0.02,-0.109%,32799233990.00,Canada,,7177773,Energy,Oil & Gas Production
CVEO,Civeo Corporation (Canada) Common Shares,$22.50,0.26,1.169%,259092518.00,,2014,23884,Consumer Discretionary,Hotels/Resorts
CVI,CVR Energy Inc. Common Stock,$33.54,-0.52,-1.527%,3371796290.00,United States,2007,658766,Energy,Integrated oil Companies
CVLG,Covenant Logistics Group Inc. Class A Common Stock,$21.72,0.09,0.416%,544024706.00,United States,,161094,Industrials,Trucking Freight/Courier Services
CVNA,Carvana Co. Class A Common Stock,$399.77,0.92,0.231%,86967030787.00,United States,2017,2972086,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CVS,CVS Health Corporation Common Stock,$75.63,-1.12,-1.459%,96007178841.00,United States,,7767640,Consumer Staples,Retail-Drug Stores and Proprietary Stores
CVX,Chevron Corporation Common Stock,$150.00,-2.26,-1.484%,302028239550.00,United States,,12657464,Energy,Integrated oil Companies
CW,Curtiss-Wright Corporation Common Stock,$544.60,-5.43,-0.987%,20081927855.00,United States,,243747,Technology,Industrial Machinery/Components
CWAN,Clearwater Analytics Holdings Inc. Class A Common Stock,$21.71,-0.02,-0.092%,6353658456.00,United States,2021,3002555,Technology,Computer Software: Prepackaged Software
CWEN,Clearway Energy Inc. Class C Common Stock,$34.01,-0.14,-0.41%,6930342653.00,United States,2015,767286,Utilities,Electric Utilities: Central
CWH,Camping World Holdings Inc. Class A Common Stock,$10.79,-0.34,-3.055%,1103671551.00,United States,2016,1544921,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CWK,Cushman & Wakefield Ltd. Common Shares,$15.77,-0.17,-1.066%,3652403722.00,,2018,2228297,Finance,Real Estate
CWT,California Water Service Group Common Stock,$44.88,0.59,1.332%,2674459384.00,United States,,379419,Utilities,Water Supply
CX,Cemex S.A.B. de C.V. Sponsored ADR,$10.83,-0.15,-1.366%,15711545867.00,Mexico,,2910060,Industrials,Building Materials
CXE,MFS High Income Municipal Trust Common Stock,$3.73,-0.01,-0.267%,117591133.00,United States,1989,186484,Finance,Investment Managers
CXH,MFS Investment Grade Municipal Trust Common Stock,$7.94,0.00,0.00%,72335345.00,United States,1989,10829,Finance,Investment Managers
CXM,Sprinklr Inc. Class A Common Stock,$7.79,-0.11,-1.392%,1901672770.00,United States,2021,2001179,Technology,Computer Software: Prepackaged Software
CXT,Crane NXT Co. Common Stock,$58.10,-0.25,-0.428%,3336220466.00,United States,,521990,Industrials,Metal Fabrications
CXW,CoreCivic Inc. Common Stock,$18.64,0.03,0.161%,1949457969.00,United States,,785037,Real Estate,Real Estate Investment Trusts
CYD,China Yuchai International Limited Common Stock,$34.75,-0.74,-2.085%,1303761690.00,Singapore,1994,217021,Industrials,Industrial Machinery/Components
CYH,Community Health Systems Inc. Common Stock,$3.57,-0.06,-1.653%,494515026.00,United States,2000,1657606,Health Care,Hospital/Nursing Management
D,Dominion Energy Inc. Common Stock,$58.49,-1.35,-2.256%,49945387572.00,United States,,7137951,Utilities,Electric Utilities: Central
DAC,Danaos Corporation Common Stock,$98.07,0.33,0.338%,1830899232.00,Greece,2006,51362,Consumer Discretionary,Marine Transportation
DAL,Delta Air Lines Inc. Common Stock,$67.10,-0.14,-0.208%,43813801733.00,United States,,7894535,Consumer Discretionary,Air Freight/Delivery Services
DAN,Dana Incorporated Common Stock ,$21.00,-0.91,-4.153%,2453584686.00,United States,,1662327,Consumer Discretionary,Auto Parts:O.E.M.
DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share,$9.50,-0.13,-1.35%,1135907866.00,China,2019,126525,Real Estate,Other Consumer Services
DAR,Darling Ingredients Inc. Common Stock,$36.51,-0.04,-0.109%,5775373854.00,United States,1997,1159572,Consumer Staples,Packaged Foods
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),$6.74,0.26,4.012%,366168044.00,United Kingdom,2018,3812985,Technology,EDP Services
DAY,Dayforce Inc. Common Stock,$69.07,-0.04,-0.058%,11053614894.00,United States,2018,5955847,Technology,Computer Software: Prepackaged Software
DB,Deutsche Bank AG Common Stock,$36.26,0.23,0.638%,70530259876.00,Germany,,2524242,Finance,Major Banks
DBD,Diebold Nixdorf Incorporated Common stock,$65.33,0.63,0.974%,2343201301.00,United States,2023,168442,Miscellaneous,Office Equipment/Supplies/Services
DBI,Designer Brands Inc. Class A Common Stock,$4.88,0.17,3.609%,241772182.00,United States,,717451,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,$15.33,-0.03,-0.195%,0.00,United States,2012,31879,,
DBRG,DigitalBridge Group Inc.,$14.12,4.40,45.267%,2579362881.00,United States,2014,55937566,Real Estate,Real Estate Investment Trusts
DBRG^H,DigitalBridge Group Inc. 7.125% Series H ,$23.30,1.25,5.669%,,United States,,200841,,
DBRG^I,DigitalBridge Group Inc. 7.15% Series I ,$23.35,1.42,6.475%,,United States,,93480,,
DBRG^J,DigitalBridge Group Inc. 7.125% Series J ,$23.00,1.18,5.408%,,United States,,78985,,
DCI,Donaldson Company Inc. Common Stock,$92.44,-1.72,-1.827%,10714476081.00,United States,,758231,Industrials,Pollution Control Equipment
DCO,Ducommun Incorporated Common Stock,$89.44,-0.60,-0.666%,1336774891.00,United States,,89252,Industrials,Military/Government/Technical
DD,DuPont de Nemours Inc. Common Stock,$40.51,0.69,1.733%,16972690375.00,United States,2017,4490845,Industrials,Major Chemicals
DDD,3D Systems Corporation Common Stock,$2.16,-0.09,-4.00%,278074110.00,United States,,1289064,Technology,Computer Software: Prepackaged Software
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares),$2.16,0.21,10.769%,510251800.00,Cayman Islands,2021,3048312,Consumer Discretionary,Catalog/Specialty Distribution
DDS,Dillard's Inc. Common Stock,$698.18,17.12,2.514%,10900660602.00,United States,,124177,Consumer Discretionary,Department/Specialty Retail Stores
DDT,Dillard's Capital Trust I,$26.06,0.09,0.347%,406873894.00,United States,,6059,Consumer Discretionary,Department/Specialty Retail Stores
DE,Deere & Company Common Stock,$475.11,-7.92,-1.64%,128436197433.00,United States,,1224386,Industrials,Industrial Machinery/Components
DEA,Easterly Government Properties Inc. Common Stock,$21.44,-0.42,-1.921%,988563646.00,United States,2015,388374,Real Estate,Real Estate Investment Trusts
DEC,Diversified Energy Company Common Stock,$15.84,0.52,3.394%,1215819649.00,,2025,558991,,
DECK,Deckers Outdoor Corporation Common Stock,$99.70,3.45,3.584%,14530759850.00,United States,1993,4560069,Consumer Discretionary,Shoe Manufacturing
DEI,Douglas Emmett Inc. Common Stock,$11.84,-0.10,-0.838%,1982750779.00,United States,2006,2934525,Real Estate,Real Estate Investment Trusts
DELL,Dell Technologies Inc. Class C Common Stock ,$138.91,-0.08,-0.058%,93399354128.00,United States,2018,4997509,Technology,Computer Manufacturing
DEO,Diageo plc Common Stock,$88.46,-1.03,-1.151%,49237114207.00,United Kingdom,,2502107,Consumer Staples,Beverages (Production/Distribution)
DFH,Dream Finders Homes Inc. Class A Common Stock,$18.80,-0.32,-1.674%,1743788698.00,United States,2022,329333,Consumer Discretionary,Homebuilding
DFIN,Donnelley Financial Solutions Inc. Common Stock ,$45.81,-1.73,-3.639%,1215663772.00,United States,2016,277874,Consumer Discretionary,Other Consumer Services
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,$21.04,0.02,0.095%,0.00,,2013,81024,Finance,Investment Managers
DG,Dollar General Corporation Common Stock,$132.37,7.08,5.651%,29135434926.00,United States,2009,12337496,Consumer Discretionary,Department/Specialty Retail Stores
DGX,Quest Diagnostics Incorporated Common Stock,$182.51,-1.67,-0.907%,20302843489.00,United States,,738192,Health Care,Medical Specialities
DHF,BNY Mellon High Yield Strategies Fund Common Stock,$2.52,-0.01,-0.395%,0.00,United States,1998,405402,Finance,Finance Companies
DHI,D.R. Horton Inc. Common Stock,$158.62,-2.11,-1.313%,46326642538.00,United States,,2167342,Consumer Discretionary,Homebuilding
DHR,Danaher Corporation Common Stock,$226.25,-0.88,-0.387%,159811588629.00,United States,,3179598,Industrials,Industrial Machinery/Components
DHT,DHT Holdings Inc.,$12.76,0.01,0.078%,2048719799.00,Jersey,2005,1645158,Consumer Discretionary,Marine Transportation
DHX,DHI Group Inc. Common Stock,$1.77,0.03,1.724%,83467938.00,United States,2007,112234,Real Estate,Real Estate
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,$15.22,0.07,0.462%,0.00,,2014,67336,Finance,Finance Companies
DIN,Dine Brands Global Inc. Common Stock,$33.39,0.81,2.486%,481607310.00,United States,,653127,Consumer Discretionary,Restaurants
DINO,HF Sinclair Corporation Common Stock,$50.07,-0.32,-0.635%,9210288026.00,United States,1960,2680506,Energy,Natural Gas Distribution
DIS,Walt Disney Company (The) Common Stock,$105.30,-0.17,-0.161%,187990915484.00,United States,,10677441,Consumer Discretionary,Services-Misc. Amusement & Recreation
DK,Delek US Holdings Inc. Common Stock,$36.41,-1.24,-3.293%,2186477045.00,United States,2017,1029683,Energy,Integrated oil Companies
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,$45.82,-0.78,-1.674%,2450471974.00,United States,2012,42323,Energy,Natural Gas Distribution
DKS,Dick's Sporting Goods Inc Common Stock,$232.22,6.26,2.77%,18600051726.00,United States,2002,1940646,Consumer Discretionary,Other Specialty Stores
DLB,Dolby Laboratories Common Stock,$67.00,0.93,1.408%,6398894697.00,United States,2005,662516,Miscellaneous,Multi-Sector Companies
DLNG,Dynagas LNG Partners LP Common Units,$3.75,0.04,1.078%,137541683.00,Greece,,20535,Consumer Discretionary,Marine Transportation
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,$26.30,-0.1813,-0.685%,,Greece,,826,,
DLR,Digital Realty Trust Inc. Common Stock,$164.73,3.71,2.304%,56585010661.00,United States,2004,1875235,Real Estate,Real Estate Investment Trusts
DLR^J,Digital Realty Trust Inc. 5.250% Series J Cumulative Redeemable Preferred Stock,$21.74,-0.07,-0.321%,,United States,,8922,,
DLR^K,Digital Realty Trust Inc. 5.850% Series K Cumulative Redeemable Preferred Stock par value $0.01 per share,$24.05,0.07,0.292%,,United States,,15448,,
DLR^L,Digital Realty Trust Inc. 5.200% Series L Cumulative Redeemable Preferred Stock,$21.06,0.05,0.238%,,United States,,26574,,
DLX,Deluxe Corporation Common Stock,$20.89,0.25,1.211%,940210101.00,United States,,158139,Consumer Discretionary,Publishing
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,$14.65,0.06,0.411%,702405662.00,United States,2020,279301,Finance,Investment Managers
DMA,Destra Multi-Alternative Fund Common Stock,$8.73,0.00,0.00%,0.00,,2022,16266,Finance,Trusts Except Educational Religious and Charitable
DMB,BNY Mellon Municipal Bond Infrastructure Fund Inc. Common Stock,$10.75,0.05,0.467%,0.00,,2013,61176,Finance,Trusts Except Educational Religious and Charitable
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,$11.50,-0.03,-0.26%,0.00,United States,2010,40978,Finance,Trusts Except Educational Religious and Charitable
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,$9.25,0.04,0.434%,560459526.00,United States,2021,1417215,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNOW,DNOW Inc. Common Stock,$13.95,-0.35,-2.448%,1464916926.00,United States,2014,1712153,Consumer Discretionary,Oil and Gas Field Machinery
DNP,DNP Select Income Fund Inc. Common Stock,$10.06,-0.05,-0.495%,0.00,United States,1987,546581,Finance,Investment Managers
DOC,Healthpeak Properties Inc. Common Stock,$17.02,-0.16,-0.931%,11828045987.00,United States,,6357754,Real Estate,Real Estate Investment Trusts
DOCN,DigitalOcean Holdings Inc. Common Stock,$48.30,2.05,4.432%,4419070459.00,United States,2021,1856429,Technology,Computer Software: Programming Data Processing
DOCS,Doximity Inc. Class A Common Stock,$45.93,-5.38,-10.485%,8647299385.00,United States,2021,6996413,Technology,EDP Services
DOLE,Dole plc Ordinary Shares,$14.90,0.12,0.812%,1417556707.00,Ireland,2021,785734,Consumer Staples,Farming/Seeds/Milling
DOUG,Douglas Elliman Inc. Common Stock,$2.57,-0.05,-1.908%,228264753.00,United States,2021,222536,Finance,Real Estate
DOV,Dover Corporation Common Stock,$191.09,0.45,0.236%,26208609383.00,United States,,770723,Industrials,Industrial Machinery/Components
DOW,Dow Inc. Common Stock ,$22.96,0.09,0.394%,16319219320.00,United States,2019,9023645,Industrials,Major Chemicals
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,$12.93,0.05,0.388%,0.00,United States,2011,74209,Finance,Trusts Except Educational Religious and Charitable
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,$31.25,-0.21,-0.668%,2095522344.00,China,2010,423322,Technology,Semiconductors
DRD,DRDGOLD Limited American Depositary Shares,$29.10,0.51,1.784%,2515953146.00,South Africa,,325287,Basic Materials,Precious Metals
DRH^A,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock,$25.43,0.01,0.039%,,United States,,25218,,
DRI,Darden Restaurants Inc. Common Stock,$177.72,1.46,0.828%,20671281783.00,United States,,1139847,Consumer Discretionary,Restaurants
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,$11.30,-0.02,-0.177%,1152564156.00,United States,2013,686617,Finance,Trusts Except Educational Religious and Charitable
DSM,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,$6.04,0.05,0.835%,0.00,United States,1989,116557,Finance,Investment Managers
DSU,Blackrock Debt Strategies Fund Inc. Common Stock,$10.28,-0.02,-0.194%,0.00,United States,1998,195357,Finance,Finance Companies
DSX,Diana Shipping inc. common stock,$1.93,-0.03,-1.531%,223431972.00,Greece,2005,604633,Consumer Discretionary,Marine Transportation
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),$27.23,0.55,2.061%,,Greece,,665,,
DT,Dynatrace Inc. Common Stock,$44.45,0.14,0.316%,13401153646.00,United States,2019,2632214,Technology,Computer Software: Prepackaged Software
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,$17.24,-0.07,-0.404%,3580455127.00,United States,2020,23437,Utilities,Electric Utilities: Central
DTE,DTE Energy Company Common Stock,$131.23,-0.93,-0.704%,27254241665.00,United States,,1579959,Utilities,Electric Utilities: Central
